id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed,alpha_ffx,gamma_ffx,beta_ffx,alpha_transformed_ffx,gamma_transformed_ffx,beta_transformed_ffx
218572,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-906.1800252,-901.3562467,-904.3562467,-909.5772051,0.01004939,1.449626199,2.079004075,3.35061498,0.809940898,0.888845674,28.52026763,1.139834876,1.376879774,3.293840767,0.75764932,0.79848941,26.94615909
219044,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-936.8696451,-931.7277418,-934.7277418,-939.9487002,0.000996701,-3.870117185,-1.733353051,2.426060006,0.020429843,0.150159191,11.3142162,-3.563121951,-0.817235827,2.412368607,0.027568605,0.306350732,11.16036438
219089,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-787.4783076,-779.2704663,-782.2704663,-787.4914247,0.034431234,0.37227415,-2.576450469,2.927907093,0.592008379,0.070669493,18.68847629,0.272178051,-2.352995331,2.901657374,0.567627535,0.086827983,18.2042917
219392,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-711.7973212,-704.5245483,-707.5245483,-712.7455067,0.07747237,2.571284486,-0.782929271,2.57126354,0.928990476,0.313688905,13.08234406,1.697318851,-0.440672987,2.504404567,0.845184236,0.391580622,12.23627092
219658,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-699.5536624,-691.3810959,-694.3810959,-699.6020543,0.076243175,1.120852926,-1.614304428,2.507391872,0.754146891,0.165991858,12.27287905,0.956956974,-1.420538367,2.474953124,0.722512127,0.194577199,11.88115016
219676,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-909.9040688,-902.651386,-905.651386,-910.8723444,0.004973668,-2.144874032,-3.225480545,3.256611113,0.104811199,0.038218025,25.96140762,-2.221652804,-1.76654435,3.028111659,0.097822842,0.1459726,20.65818603
219944,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-868.8604386,-863.4322844,-866.4322844,-871.6532428,0.027193316,2.008315186,1.07212455,3.185205126,0.881667358,0.745000736,24.17224626,1.499376661,1.102464039,3.118433233,0.817481488,0.750721507,22.61092584
219949,explore,decay_factorize_selective_psequate_fixedparams_fmri,1,h_sceptic_fixed_decay_fmri,g_sceptic,-415.109554,-408.5528161,-411.5528161,-415.7340537,0.038468707,-0.231387035,-0.082056831,2.904589379,0.44240996,0.479497295,18.25774509,-0.128840295,0.150755708,2.82353228,0.467834409,0.537617708,16.83621598
219954,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-786.928547,-779.9797044,-782.9797044,-788.2006628,0.036203627,0.829083412,-0.079067678,2.760887802,0.696161087,0.480243372,15.81387631,0.174916268,0.393085378,2.617350537,0.543617914,0.59702522,13.69937947
220024,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-916.4137056,-909.7145148,-912.7145148,-917.9354732,0.006831541,-3.684644798,0.94534288,2.302058348,0.024491213,0.720177629,9.994733936,-3.207374643,0.439353168,2.499404369,0.038889144,0.608104893,12.17523985
220043,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-860.3800774,-853.5529041,-856.5529041,-861.7738625,0.019376069,0.526944788,-1.053771074,3.114094207,0.628770251,0.258501609,22.51302897,0.08852017,-0.612219376,2.971622791,0.522115603,0.351553095,19.52357659
